RUN	DartsSoap.AddDocumentSOAPTokenSimulation	adddocumentsoaptokensimulation	1709200188215	14	3.9.5
USER	DARTS - GateWay - Soap - AddDocument:POST	START	1709200189178
REQUEST	Register With Username SOAP Request Group	DARTS - GateWay - Soap - RegisterWithUsername	1709200189205	1709200190277	OK	 
GROUP	Register With Username SOAP Request Group	1709200189179	1709200190293	1072	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200190306	1709200190633	OK	 
GROUP	AddDocument SOAP Request Group	1709200190296	1709200190909	327	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200190910	1709200191265	OK	 
GROUP	AddDocument SOAP Request Group	1709200190909	1709200191266	355	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200191267	1709200191577	OK	 
GROUP	AddDocument SOAP Request Group	1709200191267	1709200191578	310	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200191579	1709200191736	OK	 
GROUP	AddDocument SOAP Request Group	1709200191578	1709200191737	157	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200191739	1709200191902	OK	 
GROUP	AddDocument SOAP Request Group	1709200191737	1709200191903	163	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200191904	1709200192040	OK	 
GROUP	AddDocument SOAP Request Group	1709200191904	1709200192042	136	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200192043	1709200192193	OK	 
GROUP	AddDocument SOAP Request Group	1709200192042	1709200192194	150	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200192195	1709200192368	OK	 
GROUP	AddDocument SOAP Request Group	1709200192195	1709200192369	173	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200192370	1709200192505	OK	 
GROUP	AddDocument SOAP Request Group	1709200192369	1709200192506	135	OK
REQUEST	AddDocument SOAP Request Group	DARTS - GateWay - Soap - AddDocument - User	1709200192507	1709200192654	OK	 
GROUP	AddDocument SOAP Request Group	1709200192506	1709200192655	147	OK
USER	DARTS - GateWay - Soap - AddDocument:POST	END	1709200192658
