RUN	DartsApi.AudioGETPreviewSimulation	audiogetpreviewsimulation	1708505891953	0	3.9.5
USER	Audio Requests:GET Preview	START	1708505892408
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708505892406	1708505893987	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708505892393	1708505894028	1581	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505894035	1708505895474	OK	 
GROUP	Audio Get Preview	1708505894029	1708505895478	1439	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505895480	1708505897038	OK	 
GROUP	Audio Get Preview	1708505895479	1708505897040	1558	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505897043	1708505898563	OK	 
GROUP	Audio Get Preview	1708505897040	1708505898563	1520	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505898564	1708505900201	OK	 
GROUP	Audio Get Preview	1708505898564	1708505900202	1637	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505900203	1708505901286	OK	 
GROUP	Audio Get Preview	1708505900202	1708505901287	1083	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505901289	1708505902570	OK	 
GROUP	Audio Get Preview	1708505901287	1708505902570	1281	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505902571	1708505903487	OK	 
GROUP	Audio Get Preview	1708505902570	1708505903488	916	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505903489	1708505905489	OK	 
GROUP	Audio Get Preview	1708505903488	1708505905489	2000	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505905490	1708505906914	OK	 
GROUP	Audio Get Preview	1708505905490	1708505906915	1424	OK
REQUEST	Audio Get Preview	DARTS - Api - Audio:GET Preview	1708505906916	1708505907989	OK	 
GROUP	Audio Get Preview	1708505906915	1708505907990	1073	OK
USER	Audio Requests:GET Preview	END	1708505907999
