RUN	DartsApi.AudioPostSimulation	audiopostsimulation	1708510856432	2	3.9.5
USER	Audio Requests:DELETE	START	1708510857547
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708510857546	1708510861884	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708510857533	1708510861920	4338	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510861933	1708510863140	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510863143	1708510865607	OK	 
GROUP	Audio Request Group	1708510861921	1708510865639	3671	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510865641	1708510866056	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510866056	1708510867605	OK	 
GROUP	Audio Request Group	1708510865640	1708510867611	1964	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510867612	1708510868048	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510868048	1708510869101	OK	 
GROUP	Audio Request Group	1708510867611	1708510869104	1489	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510869105	1708510869756	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510869757	1708510871600	OK	 
GROUP	Audio Request Group	1708510869104	1708510871602	2494	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510871604	1708510872012	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510872013	1708510873468	OK	 
GROUP	Audio Request Group	1708510871603	1708510873470	1863	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510873472	1708510873928	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510873929	1708510874593	OK	 
GROUP	Audio Request Group	1708510873471	1708510874594	1120	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510874595	1708510874942	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510874943	1708510875605	OK	 
GROUP	Audio Request Group	1708510874594	1708510875606	1009	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510875607	1708510875976	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510875976	1708510876606	OK	 
GROUP	Audio Request Group	1708510875607	1708510876609	999	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510876611	1708510876954	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510876955	1708510877754	OK	 
GROUP	Audio Request Group	1708510876610	1708510877755	1142	OK
REQUEST	Audio Request Group	DARTS - Api - Audios:POST	1708510877757	1708510878083	OK	 
REQUEST	Audio Request Group	DARTS - Api - Audios:POST Redirect 1	1708510878084	1708510879678	OK	 
GROUP	Audio Request Group	1708510877756	1708510879681	1920	OK
USER	Audio Requests:DELETE	END	1708510879684
