RUN	DartsApi.AudioRequestGetSimulation	audiorequestgetsimulation	1708335228096	2	3.9.5
USER	Audio Requests:POST	START	1708335228592
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1708335228589	1708335229269	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1708335228573	1708335229321	680	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229327	1708335229424	OK	 
GROUP	Audio Request Get	1708335229323	1708335229427	97	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229430	1708335229474	OK	 
GROUP	Audio Request Get	1708335229427	1708335229475	44	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229476	1708335229542	OK	 
GROUP	Audio Request Get	1708335229475	1708335229542	66	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229543	1708335229593	OK	 
GROUP	Audio Request Get	1708335229542	1708335229593	50	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229594	1708335229629	OK	 
GROUP	Audio Request Get	1708335229593	1708335229629	35	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229631	1708335229665	OK	 
GROUP	Audio Request Get	1708335229630	1708335229665	34	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229667	1708335229708	OK	 
GROUP	Audio Request Get	1708335229666	1708335229708	41	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229709	1708335229741	OK	 
GROUP	Audio Request Get	1708335229708	1708335229742	32	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229743	1708335229789	OK	 
GROUP	Audio Request Get	1708335229742	1708335229789	46	OK
REQUEST	Audio Request Get	DARTS - Api - AudioRequest:GET	1708335229790	1708335229823	OK	 
GROUP	Audio Request Get	1708335229789	1708335229823	33	OK
USER	Audio Requests:POST	END	1708335229826
