RUN	DartsApi.AudioRequestSimulation	audiorequestsimulation	1708093466805	2	3.9.5
USER	Test1	START	1708093467493
REQUEST	TestDARTS - Api - Token:GET	DARTS - Api - Token:GET	1708093467491	1708093467871	OK	 
GROUP	TestDARTS - Api - Token:GET	1708093467478	1708093467923	380	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093467933	1708093468316	OK	 
GROUP	Audio Request Group	1708093467926	1708093468318	383	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093468319	1708093468443	OK	 
GROUP	Audio Request Group	1708093468319	1708093468444	124	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093468445	1708093468537	OK	 
GROUP	Audio Request Group	1708093468444	1708093468538	92	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093468539	1708093468719	OK	 
GROUP	Audio Request Group	1708093468538	1708093468719	180	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093468721	1708093468813	OK	 
GROUP	Audio Request Group	1708093468720	1708093468814	92	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093468816	1708093468946	OK	 
GROUP	Audio Request Group	1708093468815	1708093468946	130	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093468947	1708093469038	OK	 
GROUP	Audio Request Group	1708093468946	1708093469039	91	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093469040	1708093469166	OK	 
GROUP	Audio Request Group	1708093469039	1708093469167	126	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093469168	1708093469278	OK	 
GROUP	Audio Request Group	1708093469167	1708093469278	110	OK
REQUEST	Audio Request Group	DARTS - Api - AudioRequest:Post	1708093469279	1708093469387	OK	 
GROUP	Audio Request Group	1708093469278	1708093469387	108	OK
USER	Test1	END	1708093469390
