RUN	DartsApi.CourthousePostSimulation	courthousepostsimulation	1709563905057	8	3.9.5
USER	Courthouse:POST	START	1709563905786
REQUEST	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	DARTS - Api - Token:GET	1709563905784	1709563906394	OK	 
GROUP	B2C_1_Ropc_Darts_Signin - TokenDARTS - Api - B2C - Oauth2 - Token:GET	1709563905772	1709563906430	610	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563906436	1709563906853	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563906859	1709563907104	OK	 
GROUP	Courthouse Api Request Group	1709563906433	1709563907135	662	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563907141	1709563907202	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563907204	1709563907417	OK	 
GROUP	Courthouse Api Request Group	1709563907136	1709563907421	274	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563907424	1709563907474	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563907475	1709563907644	OK	 
GROUP	Courthouse Api Request Group	1709563907421	1709563907645	219	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563907649	1709563907734	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563907735	1709563907888	OK	 
GROUP	Courthouse Api Request Group	1709563907646	1709563907890	238	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563907894	1709563907981	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563907982	1709563908148	OK	 
GROUP	Courthouse Api Request Group	1709563907890	1709563908149	253	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563908152	1709563908230	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563908231	1709563908397	OK	 
GROUP	Courthouse Api Request Group	1709563908150	1709563908398	244	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563908402	1709563908450	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563908451	1709563908670	OK	 
GROUP	Courthouse Api Request Group	1709563908399	1709563908672	267	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563908676	1709563908721	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563908721	1709563908898	OK	 
GROUP	Courthouse Api Request Group	1709563908672	1709563908900	222	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563908903	1709563909017	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563909018	1709563909194	OK	 
GROUP	Courthouse Api Request Group	1709563908900	1709563909195	290	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563909198	1709563909282	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563909282	1709563909401	OK	 
GROUP	Courthouse Api Request Group	1709563909196	1709563909402	203	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563909406	1709563909450	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563909451	1709563909618	OK	 
GROUP	Courthouse Api Request Group	1709563909402	1709563909619	211	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563909622	1709563909697	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563909698	1709563909834	OK	 
GROUP	Courthouse Api Request Group	1709563909619	1709563909835	211	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563909841	1709563909915	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563909916	1709563910041	OK	 
GROUP	Courthouse Api Request Group	1709563909836	1709563910043	199	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563910046	1709563910120	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563910120	1709563910241	OK	 
GROUP	Courthouse Api Request Group	1709563910043	1709563910242	195	OK
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post	1709563910245	1709563910289	OK	 
REQUEST	Courthouse Api Request Group	DARTS - Api - CourtHouse:Post Redirect 1	1709563910289	1709563910428	OK	 
GROUP	Courthouse Api Request Group	1709563910242	1709563910429	183	OK
USER	Courthouse:POST	END	1709563910432
