"hea_id","cas_id","case_number","ctr_id","courthouse_name","courtroom_name"
5469051,5429811,"7ydgj054r5",30349,"PerfCourtHouse_wThaFU3Eh3","PerfCourtroom_rllswrisudy"
5469050,5429810,"MuguPzjQar",30315,"PerfCourtHouse_A52A0v84lC","PerfCourtroom_teeamkmojfd"
5469049,5429809,"0UmD2NiSUz",30173,"PerfCourtHouse_JQMBe2A4sq","PerfCourtroom_rucircfimn"
5469034,5429794,"vZ8vvweP7m",30229,"PerfCourtHouse_VsbQmeCUqK","PerfCourtroom_zmcgjfltcez"
5469033,5429793,"ibdWmOygY0",30297,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_qpsqibsvxbe"
5469032,5429792,"1OmUvyYHW0",30293,"PerfCourtHouse_0diSuLcAU6","PerfCourtroom_pedskwhxjyg"
5469031,5429791,"RY1435MM72",30095,"PerfCourtHouse_rolxQi4Qid","PerfCourtroom_rtmlhoxfcbs"
5469030,5429790,"LI87e7R5O8",30161,"PerfCourtHouse_VsbQmeCUqK","PerfCourtroom_trtknmmdefe"
5469029,5429789,"MyXxtEPmk2",30109,"PerfCourtHouse_A52A0v84lC","PerfCourtroom_ffjzbpdwerp"
5469023,5429783,"P5kCrJXhHe",30198,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_qxnpsimniou"
5469022,5429782,"lFGIOa85Zs",30149,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_arvznmymgyp"
5469021,5429781,"eooh2Ll7Pd",30267,"PerfCourtHouse_NHGofIJRZM","PerfCourtroom_autgafjdtgw"
5469020,5429780,"exlAEJA3dz",30159,"PerfCourtHouse_VsbQmeCUqK","PerfCourtroom_xjammnxojmb"
5469019,5429779,"HmavilWzwf",30310,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_jfeoihwranb"
5469018,5429778,"HEzEcw3QoK",30209,"PerfCourtHouse_A52A0v84lC","PerfCourtroom_ioscqxangpo"
5469017,5429777,"EvZ2XKwUo8",30265,"PerfCourtHouse_rolxQi4Qid","PerfCourtroom_ysreoaciaxc"
5469016,5429776,"Fj88tTJWpV",30260,"PerfCourtHouse_JQMBe2A4sq","PerfCourtroom_eplsqhhovgi"
5469015,5429775,"hD6j5JjCMY",30149,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_arvznmymgyp"
5469014,5429774,"RLjCjL0Yua",30175,"PerfCourtHouse_bEs5ovJuty","PerfCourtroom_ingmxydftlc"
5469013,5429773,"5gNuj16ULT",30155,"PerfCourtHouse_VsbQmeCUqK","PerfCourtroom_fbszppgrcff"
5469012,5429772,"ksYNpglvUR",30131,"PerfCourtHouse_JQMBe2A4sq","PerfCourtroom_ivlmwszdjso"
5469011,5429771,"3wkI3MKlKj",30190,"PerfCourtHouse_rolxQi4Qid","PerfCourtroom_zxadmvpdotf"
5469010,5429770,"nQJoyrAsSP",30292,"PerfCourtHouse_Sc9graELDO","PerfCourtroom_bvczhwifyto"
5469009,5429769,"2fGxXJllUC",30230,"PerfCourtHouse_nQZcqGM0G1","PerfCourtroom_enuobmojtva"
5469000,5429760,"mWG8RfGn33",30332,"PerfCourtHouse_VYOiSlqrEH","PerfCourtroom_kattkyksnfw"
5468999,5429759,"xs3lBjbIwM",30153,"PerfCourtHouse_JQMBe2A4sq","PerfCourtroom_hfwhzyfhtvx"
5468998,5429758,"3fpnsG3Z8V",30094,"PerfCourtHouse_NHGofIJRZM","PerfCourtroom_wwthompjxww"
5468997,5429757,"hoQ0wKtP2S",30169,"PerfCourtHouse_EX0O95jeAU","PerfCourtroom_dbgjunglzcp"
5468996,5429756,"ucUZ9PNZ3j",30252,"PerfCourtHouse_srhhOqdHTY","PerfCourtroom_yenbpcrgujn"
5468995,5429755,"CRrmW5uFal",30271,"PerfCourtHouse_WijZaUckZx","PerfCourtroom_djibcwpiint"
5468994,5429754,"Y5StmPCdgw",30309,"PerfCourtHouse_NHGofIJRZM","PerfCourtroom_zybwaegqme"
