cth_id,courtroom_name,ctr_id,courthouse_name
1,17,5,4 NEWTON STREET
1,3,6,4 NEWTON STREET
1,15,3,4 NEWTON STREET
1,1,1,4 NEWTON STREET
1,14,2,4 NEWTON STREET
1,16,4,4 NEWTON STREET
1,99,7,4 NEWTON STREET
2,5,9,AMERSHAM LAW COURTS
2,4,8,AMERSHAM LAW COURTS
3,3,12,AYLESBURY
3,4,13,AYLESBURY
3,5,14,AYLESBURY
3,14,782,AYLESBURY
3,1,10,AYLESBURY
3,2,11,AYLESBURY
4,1,15,BARNSTAPLE
5,1,16,BARONS COURT WALSALL
6,1,17,BARROW-IN-FURNESS
7,2,22,BASILDON
7,1,18,BASILDON
7,101,19,BASILDON
7,102,20,BASILDON
7,199,21,BASILDON
7,3,23,BASILDON
7,4,24,BASILDON
7,5,25,BASILDON
8,12,29,BIRMINGHAM
8,2,30,BIRMINGHAM
8,3,31,BIRMINGHAM
8,4,32,BIRMINGHAM
8,11,28,BIRMINGHAM
8,10,27,BIRMINGHAM
8,5,33,BIRMINGHAM
8,6,34,BIRMINGHAM
8,7,35,BIRMINGHAM
8,8,36,BIRMINGHAM
8,9,37,BIRMINGHAM
8,1,26,BIRMINGHAM
9,19,39,BIRMINGHAM LIBRARY AND REP
9,18,38,BIRMINGHAM LIBRARY AND REP
10,2,41,BLACKFRIARS
10,3,42,BLACKFRIARS
10,4,43,BLACKFRIARS
10,5,44,BLACKFRIARS
10,6,45,BLACKFRIARS
10,7,46,BLACKFRIARS
10,8,47,BLACKFRIARS
10,9,48,BLACKFRIARS
10,BLACKFRS_08,49,BLACKFRIARS
10,1,40,BLACKFRIARS
11,1,50,BOLTON
11,10,801,BOLTON
11,2,51,BOLTON
11,3,52,BOLTON
11,4,53,BOLTON
11,5,54,BOLTON
12,2,56,BOLTON STADIUM
12,1,55,BOLTON STADIUM
13,1,57,BOURNEMOUTH CROWN AND COUNTY COURTS
13,2,62,BOURNEMOUTH CROWN AND COUNTY COURTS
