trm_id,mer_id,hea_id,request_status,request_type
7102,18924,22221456,EXPIRED,DOWNLOAD
7103,19124,15336018,EXPIRED,DOWNLOAD
7105,18829,7933183,EXPIRED,DOWNLOAD
7109,18746,8165370,EXPIRED,DOWNLOAD
7110,19025,11165620,EXPIRED,DOWNLOAD
7113,18845,6461655,EXPIRED,DOWNLOAD
7114,19085,19146572,EXPIRED,DOWNLOAD
7117,19342,9610426,EXPIRED,DOWNLOAD
7118,18805,12059196,EXPIRED,DOWNLOAD
7119,18771,4882724,EXPIRED,DOWNLOAD
7121,19361,16886483,EXPIRED,DOWNLOAD
7123,19185,11706151,EXPIRED,DOWNLOAD
7124,19381,7422343,EXPIRED,DOWNLOAD
7125,18732,21607890,EXPIRED,DOWNLOAD
7126,18945,9701258,EXPIRED,DOWNLOAD
7128,18866,11310764,EXPIRED,DOWNLOAD
7130,18886,5215826,EXPIRED,DOWNLOAD
7131,19165,4149708,EXPIRED,DOWNLOAD
7132,19284,12035620,EXPIRED,DOWNLOAD
7133,19205,18525409,EXPIRED,DOWNLOAD
7135,19265,24823080,EXPIRED,DOWNLOAD
7136,18733,1365225,EXPIRED,DOWNLOAD
7137,18925,12099399,EXPIRED,DOWNLOAD
7138,19065,7177226,EXPIRED,DOWNLOAD
7140,19145,12521732,EXPIRED,DOWNLOAD
7141,19125,13296737,EXPIRED,DOWNLOAD
7142,18772,9919942,EXPIRED,DOWNLOAD
7143,19225,14292290,EXPIRED,DOWNLOAD
7145,18831,23336252,EXPIRED,DOWNLOAD
7146,18867,11981131,EXPIRED,DOWNLOAD
7149,19325,2558514,EXPIRED,DOWNLOAD
7152,19421,22998483,EXPIRED,DOWNLOAD
7153,19401,10102488,EXPIRED,DOWNLOAD
7156,19521,21024896,EXPIRED,DOWNLOAD
7159,19541,7986485,EXPIRED,DOWNLOAD
7160,19561,5943802,EXPIRED,DOWNLOAD
7161,19641,16223586,EXPIRED,DOWNLOAD
7162,19621,17479567,EXPIRED,DOWNLOAD
7164,19661,24336577,EXPIRED,DOWNLOAD
7165,19681,9819697,EXPIRED,DOWNLOAD
7166,19701,2748356,EXPIRED,DOWNLOAD
7167,19721,9804073,EXPIRED,DOWNLOAD
7169,19781,13007126,EXPIRED,DOWNLOAD
7172,19801,17427826,EXPIRED,DOWNLOAD
7174,19542,7845624,EXPIRED,DOWNLOAD
7176,19841,19638653,EXPIRED,DOWNLOAD
7177,19522,7874901,EXPIRED,DOWNLOAD
7178,19762,24273315,EXPIRED,DOWNLOAD
7180,19442,14266250,EXPIRED,DOWNLOAD
7181,19662,21821914,EXPIRED,DOWNLOAD
7183,19722,11172204,EXPIRED,DOWNLOAD
7185,19543,12796466,EXPIRED,DOWNLOAD
7186,19443,16867047,EXPIRED,DOWNLOAD
7187,19462,8465540,EXPIRED,DOWNLOAD
7188,19743,22985539,EXPIRED,DOWNLOAD
7191,19861,15813190,EXPIRED,DOWNLOAD
7192,19763,3162521,EXPIRED,DOWNLOAD
7193,19444,816617,EXPIRED,DOWNLOAD
7195,19683,4804481,EXPIRED,DOWNLOAD
7197,19562,4852924,EXPIRED,DOWNLOAD
7198,19901,26018640,EXPIRED,DOWNLOAD
7199,19723,11823628,EXPIRED,DOWNLOAD
7201,19782,13048369,EXPIRED,DOWNLOAD
7204,19642,6219060,EXPIRED,DOWNLOAD
7205,19482,5533881,EXPIRED,DOWNLOAD
7206,19744,11385912,EXPIRED,DOWNLOAD
7207,19424,20636142,EXPIRED,DOWNLOAD
7208,19602,15336491,EXPIRED,DOWNLOAD
7210,19843,6497616,EXPIRED,DOWNLOAD
7211,19822,13063557,EXPIRED,DOWNLOAD
7212,19502,18882161,EXPIRED,DOWNLOAD
7213,19524,16649442,EXPIRED,DOWNLOAD
7214,19764,17071279,EXPIRED,DOWNLOAD
7215,19544,12814063,EXPIRED,DOWNLOAD
7216,19802,4072413,EXPIRED,DOWNLOAD
7217,19745,672954,EXPIRED,DOWNLOAD
7220,19425,20212496,EXPIRED,DOWNLOAD
7221,19684,11188425,EXPIRED,DOWNLOAD
7222,19664,6426329,EXPIRED,DOWNLOAD
7223,19525,13087479,EXPIRED,DOWNLOAD
7225,19545,9642240,EXPIRED,DOWNLOAD
7226,19445,25215114,EXPIRED,DOWNLOAD
7227,19623,9896221,EXPIRED,DOWNLOAD
7228,19765,20156695,EXPIRED,DOWNLOAD
7229,19465,20152299,EXPIRED,DOWNLOAD
7231,19902,10374740,EXPIRED,DOWNLOAD
7232,19685,23911882,EXPIRED,DOWNLOAD
7233,19564,10977686,EXPIRED,DOWNLOAD
7235,19882,431924,EXPIRED,DOWNLOAD
7236,19446,9818415,EXPIRED,DOWNLOAD
7237,19844,18832452,EXPIRED,DOWNLOAD
7238,19921,20338396,EXPIRED,DOWNLOAD
7239,19583,12466390,EXPIRED,DOWNLOAD
7240,19665,11278585,EXPIRED,DOWNLOAD
7241,19783,12678124,EXPIRED,DOWNLOAD
7243,19643,10477347,EXPIRED,DOWNLOAD
7247,19747,16487017,EXPIRED,DOWNLOAD
7249,19823,5853740,EXPIRED,DOWNLOAD
7250,19845,5807430,EXPIRED,DOWNLOAD
7252,19402,20507350,EXPIRED,DOWNLOAD
7253,19766,272135,EXPIRED,DOWNLOAD
