trm_id,mer_id,hea_id,request_status,request_type
7101,18965,15241202,COMPLETED,DOWNLOAD
7100,18770,23292795,COMPLETED,DOWNLOAD
7099,19204,12682471,COMPLETED,DOWNLOAD
7097,19144,22636537,COMPLETED,DOWNLOAD
7095,19064,5099028,COMPLETED,DOWNLOAD
7094,18885,1877768,COMPLETED,DOWNLOAD
7092,19264,18904962,COMPLETED,DOWNLOAD
7091,19244,6567803,COMPLETED,DOWNLOAD
7089,19084,17462789,COMPLETED,DOWNLOAD
7087,19184,4666909,COMPLETED,DOWNLOAD
7085,18730,16010786,COMPLETED,DOWNLOAD
7084,19004,15723144,COMPLETED,DOWNLOAD
7081,19323,17814842,COMPLETED,DOWNLOAD
7080,18804,3029649,COMPLETED,DOWNLOAD
7076,19024,5480642,COMPLETED,DOWNLOAD
7074,18844,25863148,COMPLETED,DOWNLOAD
7070,19283,11759972,COMPLETED,DOWNLOAD
7069,18744,4460999,COMPLETED,DOWNLOAD
7067,18864,17036498,COMPLETED,DOWNLOAD
7066,18786,9856771,COMPLETED,DOWNLOAD
7064,18906,1501803,COMPLETED,DOWNLOAD
7063,18768,3336937,COMPLETED,DOWNLOAD
7061,18729,10437053,COMPLETED,DOWNLOAD
7060,18827,5194707,COMPLETED,DOWNLOAD
7058,18923,21180937,COMPLETED,DOWNLOAD
7056,19203,7447452,COMPLETED,DOWNLOAD
7055,19143,5599903,COMPLETED,DOWNLOAD
7053,19263,7817008,COMPLETED,DOWNLOAD
7052,18785,10327104,COMPLETED,DOWNLOAD
7051,19243,19919637,COMPLETED,DOWNLOAD
7050,19183,8444476,COMPLETED,DOWNLOAD
7049,19083,18818368,COMPLETED,DOWNLOAD
7048,18943,17614918,COMPLETED,DOWNLOAD
7047,18905,718550,COMPLETED,DOWNLOAD
7046,18728,2393831,COMPLETED,DOWNLOAD
7045,18767,15138230,COMPLETED,DOWNLOAD
7043,19104,4461268,COMPLETED,DOWNLOAD
7041,19003,10349427,COMPLETED,DOWNLOAD
7040,19043,11751699,COMPLETED,DOWNLOAD
7039,18863,11008521,COMPLETED,DOWNLOAD
7038,18826,9669734,COMPLETED,DOWNLOAD
7037,18843,24937060,COMPLETED,DOWNLOAD
7036,19302,9877647,COMPLETED,DOWNLOAD
7034,18803,4678606,COMPLETED,DOWNLOAD
7032,19282,5238814,COMPLETED,DOWNLOAD
7030,18963,22042341,COMPLETED,DOWNLOAD
7029,18883,25155002,COMPLETED,DOWNLOAD
7027,18904,24773860,COMPLETED,DOWNLOAD
7026,19122,5180754,COMPLETED,DOWNLOAD
7025,19262,4262540,COMPLETED,DOWNLOAD
7024,19062,4558475,COMPLETED,DOWNLOAD
7023,18783,2518128,COMPLETED,DOWNLOAD
7021,18765,22104865,COMPLETED,DOWNLOAD
7020,18727,22078433,COMPLETED,DOWNLOAD
7018,19202,9527676,COMPLETED,DOWNLOAD
7013,19182,8146236,COMPLETED,DOWNLOAD
7011,18742,21872728,COMPLETED,DOWNLOAD
7009,19002,1870862,COMPLETED,DOWNLOAD
7008,18764,13478813,COMPLETED,DOWNLOAD
7007,19082,4573415,COMPLETED,DOWNLOAD
7006,19142,884711,COMPLETED,DOWNLOAD
7005,18903,6970266,COMPLETED,DOWNLOAD
7004,18824,4677967,COMPLETED,DOWNLOAD
7001,18842,4834856,COMPLETED,DOWNLOAD
7000,19321,11770847,COMPLETED,DOWNLOAD
6999,18802,4809906,COMPLETED,DOWNLOAD
6998,19042,20765968,COMPLETED,DOWNLOAD
6997,18862,281603,COMPLETED,DOWNLOAD
6996,19022,20546956,COMPLETED,DOWNLOAD
6994,19301,8377802,COMPLETED,DOWNLOAD
6993,18782,10085394,COMPLETED,DOWNLOAD
6992,19261,19452029,COMPLETED,DOWNLOAD
6991,18962,9618257,COMPLETED,DOWNLOAD
6989,18982,16637490,COMPLETED,DOWNLOAD
6986,18763,19077488,COMPLETED,DOWNLOAD
6984,19241,16166190,COMPLETED,DOWNLOAD
6983,19201,15235694,COMPLETED,DOWNLOAD
6982,18762,22147305,COMPLETED,DOWNLOAD
6981,18723,3266978,COMPLETED,DOWNLOAD
6980,18822,10098290,COMPLETED,DOWNLOAD
6978,19181,4819915,COMPLETED,DOWNLOAD
6976,19141,15777111,COMPLETED,DOWNLOAD
6975,19041,13225386,COMPLETED,DOWNLOAD
6974,19061,20158628,COMPLETED,DOWNLOAD
6973,19101,24340398,COMPLETED,DOWNLOAD
6972,19021,4530912,COMPLETED,DOWNLOAD
6971,19081,19937200,COMPLETED,DOWNLOAD
6969,18722,4201017,COMPLETED,DOWNLOAD
6968,18921,24136627,COMPLETED,DOWNLOAD
6965,18941,9745925,COMPLETED,DOWNLOAD
6964,18961,20345640,COMPLETED,DOWNLOAD
6962,18821,3247028,COMPLETED,DOWNLOAD
6960,18861,24619996,COMPLETED,DOWNLOAD
6959,18721,4282959,COMPLETED,DOWNLOAD
6958,18781,24886661,COMPLETED,DOWNLOAD
6957,18761,15475720,COMPLETED,DOWNLOAD
6956,18801,22169998,COMPLETED,DOWNLOAD
6955,18741,147442,COMPLETED,DOWNLOAD
6953,18622,3653935,COMPLETED,DOWNLOAD
6952,18681,17498211,COMPLETED,DOWNLOAD
6951,18661,25524051,COMPLETED,DOWNLOAD
6949,18641,13426468,COMPLETED,DOWNLOAD
6948,18621,16774563,COMPLETED,DOWNLOAD
6946,18601,3575361,COMPLETED,DOWNLOAD
6945,18581,14015729,COMPLETED,DOWNLOAD
6944,17994,15520619,COMPLETED,DOWNLOAD
6942,17973,24182887,COMPLETED,DOWNLOAD
6941,18243,162223,COMPLETED,DOWNLOAD
6937,17928,23164987,COMPLETED,DOWNLOAD
6935,18543,8205809,COMPLETED,DOWNLOAD
6934,18106,15504119,COMPLETED,DOWNLOAD
6933,18125,12367184,COMPLETED,DOWNLOAD
6932,18485,14433953,COMPLETED,DOWNLOAD
6931,18017,13591798,COMPLETED,DOWNLOAD
6929,18166,25749394,COMPLETED,DOWNLOAD
6928,18343,15591781,COMPLETED,DOWNLOAD
6926,17950,18577570,COMPLETED,DOWNLOAD
6925,18562,18802631,COMPLETED,DOWNLOAD
6924,18263,12133413,COMPLETED,DOWNLOAD
